Amount	Search	Insert	Delete
100	100	47	49
200	200	99	120
300	300	163	161
400	400	207	212
500	500	242	273
600	600	282	311
700	700	347	358
800	800	393	392
900	900	461	454
1000	1000	512	510
1100	1100	543	530
1200	1200	597	644
1300	1300	697	651
1400	1400	658	673
1500	1500	724	768
1600	1600	818	762
1700	1700	834	847
1800	1800	939	936
1900	1900	944	930
2000	2000	983	1017
2100	2100	1190	1089
2200	2200	1074	1091
2300	2300	1126	1216
2400	2400	1222	1257
2500	2500	1193	1230
2600	2600	1289	1378
2700	2700	1285	1306
2800	2800	1296	1497
2900	2900	1480	1434
3000	3000	1397	1593
3100	3100	1418	1555
3200	3200	1717	1661
3300	3300	1602	1546
3400	3400	1647	1751
3500	3500	1891	1771
3600	3600	1678	1806
3700	3700	1774	1694
3800	3800	1951	2010
3900	3900	2036	2026
4000	4000	2176	2146
4100	4100	2226	1903
4200	4200	1991	2117
4300	4300	2199	1966
4400	4400	2079	2488
4500	4500	2170	2219
4600	4600	2104	2173
4700	4700	2210	2666
4800	4800	2368	2304
4900	4900	2495	2455
5000	5000	2468	2666
5100	5100	2557	2526
5200	5200	2448	2395
5300	5300	2526	2655
5400	5400	2472	3009
5500	5500	2866	2750
5600	5600	2812	2645
5700	5700	2971	3013
5800	5800	3026	2826
5900	5900	2912	3151
6000	6000	2831	2954
6100	6100	2988	3092
6200	6200	3083	3022
6300	6300	3114	3318
6400	6400	3139	3392
6500	6500	3052	3418
6600	6600	3890	3593
6700	6700	3676	3387
6800	6800	3731	3438
6900	6900	3483	3690
7000	7000	3551	3701
7100	7100	3572	3553
7200	7200	3529	3721
7300	7300	3330	3769
7400	7400	3742	3805
7500	7500	4113	3540
7600	7600	3977	3766
7700	7700	3710	3790
7800	7800	3753	3924
7900	7900	4156	3884
8000	8000	4274	3820
8100	8100	4123	4335
8200	8200	3971	4047
8300	8300	3930	4488
8400	8400	4242	4146
8500	8500	4215	4027
8600	8600	4383	4561
8700	8700	4372	4362
8800	8800	4558	4614
8900	8900	4289	4460
9000	9000	4579	4788
9100	9100	4600	4631
9200	9200	4554	4328
9300	9300	4743	4662
9400	9400	4425	4646
9500	9500	4887	4946
9600	9600	4761	4745
9700	9700	4679	4722
9800	9800	4707	4481
9900	9900	5071	5111
10000	10000	5114	4837
